budget,comparison_report,data_signature_match,left_eval_count,left_policy,pack_name,pair_label,parity_row_key,parity_status,reason,right_eval_count,right_policy,seed,source_summary_relpath,workspace_relpath
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/prism_vs_contenders.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,prism vs contenders,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|prism vs contenders|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/prism_vs_stratograph.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,prism vs stratograph,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|prism vs stratograph|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/prism_vs_topograph.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,prism vs topograph,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|prism vs topograph|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/stratograph_vs_contenders.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,stratograph vs contenders,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|stratograph vs contenders|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/topograph_vs_contenders.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,topograph vs contenders,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|topograph vs contenders|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/topograph_vs_stratograph.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,topograph vs stratograph,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|topograph vs stratograph|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/prism_vs_contenders.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,prism vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|prism vs contenders|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/prism_vs_stratograph.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,prism vs stratograph,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|prism vs stratograph|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/prism_vs_topograph.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,prism vs topograph,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|prism vs topograph|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/stratograph_vs_contenders.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,stratograph vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|stratograph vs contenders|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/topograph_vs_contenders.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,topograph vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|topograph vs contenders|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/topograph_vs_stratograph.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,topograph vs stratograph,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|topograph vs stratograph|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
152,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/prism_vs_contenders.md,true,152,prototype_equal_budget,working_33_plus_5_lm_compare_eval152,prism vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json|prism vs contenders|152|42,fair,,152,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke
152,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/prism_vs_stratograph.md,true,152,prototype_equal_budget,working_33_plus_5_lm_compare_eval152,prism vs stratograph,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json|prism vs stratograph|152|42,fair,,152,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke
152,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/prism_vs_topograph.md,true,152,prototype_equal_budget,working_33_plus_5_lm_compare_eval152,prism vs topograph,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json|prism vs topograph|152|42,fair,,152,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke
152,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/stratograph_vs_contenders.md,true,152,prototype_equal_budget,working_33_plus_5_lm_compare_eval152,stratograph vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json|stratograph vs contenders|152|42,fair,,152,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke
152,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/topograph_vs_contenders.md,true,152,prototype_equal_budget,working_33_plus_5_lm_compare_eval152,topograph vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json|topograph vs contenders|152|42,fair,,152,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke
152,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/topograph_vs_stratograph.md,true,152,prototype_equal_budget,working_33_plus_5_lm_compare_eval152,topograph vs stratograph,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json|topograph vs stratograph|152|42,fair,,152,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/prism_vs_contenders.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|prism vs contenders|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/prism_vs_contenders.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs contenders,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|prism vs contenders|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/prism_vs_stratograph.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs stratograph,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|prism vs stratograph|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/prism_vs_stratograph.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs stratograph,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|prism vs stratograph|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/prism_vs_topograph.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs topograph,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|prism vs topograph|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/prism_vs_topograph.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs topograph,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|prism vs topograph|304|42,incomparable,budget mismatch exceeds 25%,190,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/stratograph_vs_contenders.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,stratograph vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|stratograph vs contenders|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/stratograph_vs_contenders.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,stratograph vs contenders,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|stratograph vs contenders|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/topograph_vs_contenders.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,topograph vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|topograph vs contenders|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/topograph_vs_contenders.md,true,190,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,topograph vs contenders,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|topograph vs contenders|304|42,incomparable,budget mismatch exceeds 25%,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/topograph_vs_stratograph.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,topograph vs stratograph,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|topograph vs stratograph|304|42,fair,,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/topograph_vs_stratograph.md,true,190,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,topograph vs stratograph,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|topograph vs stratograph|304|42,incomparable,budget mismatch exceeds 25%,304,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed43/prism_vs_contenders.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json|prism vs contenders|304|43,fair,,304,prototype_equal_budget,43,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
304,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed43/prism_vs_contenders.md,true,304,prototype_equal_budget,working_33_plus_5_lm_compare_eval304,prism vs contenders,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json|prism vs contenders|304|43,fair,,304,prototype_equal_budget,43,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
